id,label,cluster
163,BR,3
67,MX,3
179,AR,3
3,ZA,7
152,CL,3
149,CO,3
61,NG,7
53,PE,3
99,KE,7
12,UG,7
1,ZW,7
123,GH,7
7,VE,3
131,ET,7
30,SN,7
136,EC,3
147,CU,3
125,GD,3
14,TZ,7
151,CM,7
10,UY,3
36,SD,7
68,MW,7
148,CR,3
153,CI,7
39,RW,7
161,BW,7
171,BF,7
167,BJ,7
2,ZM,7
75,ML,7
122,GM,7
54,PA,3
11,US,5
126,GB,2
128,FR,2
158,CA,5
142,DE,2
46,PT,2
132,ES,2
177,AU,1
103,IT,2
59,NL,2
172,BE,2
154,CH,2
35,SE,2
140,DK,2
100,JP,1
66,MY,1
178,AT,2
150,CN,1
110,IE,2
130,FI,2
107,IN,6
38,SA,4
58,NO,2
56,NZ,1
49,PK,6
64,NA,7
143,CZ,2
109,IL,4
40,RU,2
