pub_year,abbr_region,n_pub,n_researcher,ave_pub_researcher
1990,LAC,7349,10685,0.687786617
1991,LAC,7732,11328,0.682556497
1992,LAC,8705,12978,0.670750501
1993,LAC,9312,13791,0.675222972
1994,LAC,10513,15964,0.658544225
1995,LAC,11918,17956,0.663733571
1996,LAC,13699,20578,0.665710953
1997,LAC,16167,24613,0.656848007
1998,LAC,18589,28179,0.659675645
1999,LAC,21793,33208,0.656257528
2000,LAC,25183,38676,0.651127314
2001,LAC,28546,44238,0.645282336
2002,LAC,32409,50675,0.639546127
2003,LAC,35681,57337,0.622303225
2004,LAC,40481,65294,0.619980396
2005,LAC,45282,74189,0.610360026
2006,LAC,51330,84013,0.610976873
2007,LAC,57051,94113,0.606196806
2008,LAC,63033,103514,0.608932125
2009,LAC,68111,113049,0.602490955
2010,LAC,73407,123261,0.595541169
2011,LAC,79860,135274,0.590357349
2012,LAC,86888,149350,0.581774356
2013,LAC,93801,163409,0.57402591
2014,LAC,103796,182750,0.567967168
2015,LAC,112858,200342,0.563326711
2016,LAC,121412,214743,0.565382806
2017,LAC,130309,231623,0.562590934
2018,LAC,139126,245921,0.565734525
2019,LAC,145477,251867,0.577594524
2020,LAC,171729,284992,0.602574809
2021,LAC,178049,288840,0.61642778
2022,LAC,165856,273209,0.607066385
2023,LAC,145478,251784,0.577788898
1990,SSA,4953,5384,0.919947994
1991,SSA,4832,5319,0.908441436
1992,SSA,4966,5625,0.882844444
1993,SSA,5015,5993,0.836809611
1994,SSA,5294,6103,0.867442242
1995,SSA,5252,6219,0.844508763
1996,SSA,5436,6287,0.864641323
1997,SSA,5595,6866,0.81488494
1998,SSA,5687,6867,0.828163681
1999,SSA,6224,7752,0.802889577
2000,SSA,6535,8048,0.812002982
2001,SSA,6942,8662,0.80143154
2002,SSA,7778,9560,0.813598326
2003,SSA,8003,10030,0.797906281
2004,SSA,9445,12070,0.782518641
2005,SSA,10793,13762,0.784261009
2006,SSA,12292,15051,0.816689921
2007,SSA,13372,16537,0.808610994
2008,SSA,14601,18387,0.794093653
2009,SSA,16500,20686,0.797640917
2010,SSA,18402,24031,0.765760892
2011,SSA,21034,26858,0.783155857
2012,SSA,23817,29920,0.796022727
2013,SSA,27516,34616,0.794892535
2014,SSA,32712,41972,0.779376727
2015,SSA,35495,46273,0.767077994
2016,SSA,40620,52284,0.776910718
2017,SSA,45506,57887,0.786117781
2018,SSA,49988,63248,0.790349102
2019,SSA,57456,69387,0.828051364
2020,SSA,73722,82950,0.88875226
2021,SSA,80260,88903,0.902781683
2022,SSA,82447,90999,0.906020945
2023,SSA,72301,88211,0.819637007
